
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  6.10000000000E+07     ; 6.40000000000E+07   ; Hz                  ; 1601      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   6.16731250000E+07; -0.759082     ;-0.594103     
   6.16750000000E+07; -0.760211     ;-0.595912     
   6.16768750000E+07; -0.760763     ;-0.593542     
   6.16787500000E+07; -0.760715     ;-0.594696     
   6.16806250000E+07; -0.757611     ;-0.592353     
   6.16825000000E+07; -0.761223     ;-0.59404      
   6.16843750000E+07; -0.762346     ;-0.591441     
   6.16862500000E+07; -0.764721     ;-0.589808     
   6.16881250000E+07; -0.762493     ;-0.5896       
   6.16900000000E+07; -0.766147     ;-0.588354     
   6.16918750000E+07; -0.764731     ;-0.586615     
   6.16937500000E+07; -0.766022     ;-0.588437     
   6.16956250000E+07; -0.76624      ;-0.587336     
   6.16975000000E+07; -0.765067     ;-0.584931     
   6.16993750000E+07; -0.76741      ;-0.585545     
   6.17012500000E+07; -0.765192     ;-0.58365      
   6.17031250000E+07; -0.768943     ;-0.581701     
   6.17050000000E+07; -0.770104     ;-0.582035     
   6.17068750000E+07; -0.770117     ;-0.584204     
   6.17087500000E+07; -0.77014      ;-0.578112     
   6.17106250000E+07; -0.771369     ;-0.578193     
   6.17125000000E+07; -0.773376     ;-0.578773     
   6.17143750000E+07; -0.773188     ;-0.577101     
   6.17162500000E+07; -0.771048     ;-0.575812     
   6.17181250000E+07; -0.773361     ;-0.574708     
   6.17200000000E+07; -0.773078     ;-0.575015     
   6.17218750000E+07; -0.774339     ;-0.574078     
   6.17237500000E+07; -0.777073     ;-0.573921     
   6.17256250000E+07; -0.777528     ;-0.571457     
   6.17275000000E+07; -0.777068     ;-0.570957     
   6.17293750000E+07; -0.775463     ;-0.571196     
   6.17312500000E+07; -0.776166     ;-0.567957     
   6.17331250000E+07; -0.777519     ;-0.567286     
   6.17350000000E+07; -0.779797     ;-0.571223     
   6.17368750000E+07; -0.779177     ;-0.568101     
   6.17387500000E+07; -0.780805     ;-0.5667       
   6.17406250000E+07; -0.782586     ;-0.566097     
   6.17425000000E+07; -0.781291     ;-0.56298      
   6.17443750000E+07; -0.782473     ;-0.562737     
   6.17462500000E+07; -0.780942     ;-0.561672     
   6.17481250000E+07; -0.783749     ;-0.562684     
   6.17500000000E+07; -0.783866     ;-0.563966     
   6.17518750000E+07; -0.7861       ;-0.559325     
   6.17537500000E+07; -0.785181     ;-0.56023      
   6.17556250000E+07; -0.785428     ;-0.559473     
   6.17575000000E+07; -0.787503     ;-0.556881     
   6.17593750000E+07; -0.785417     ;-0.557009     
   6.17612500000E+07; -0.784918     ;-0.554757     
   6.17631250000E+07; -0.788815     ;-0.555498     
   6.17650000000E+07; -0.788043     ;-0.557163     
   6.17668750000E+07; -0.788618     ;-0.553185     
   6.17687500000E+07; -0.789733     ;-0.553067     
   6.17706250000E+07; -0.793433     ;-0.55037      
   6.17725000000E+07; -0.790349     ;-0.550553     
   6.17743750000E+07; -0.793842     ;-0.550236     
   6.17762500000E+07; -0.791857     ;-0.546803     
   6.17781250000E+07; -0.793969     ;-0.547336     
   6.17800000000E+07; -0.794179     ;-0.546287     
   6.17818750000E+07; -0.792628     ;-0.543121     
   6.17837500000E+07; -0.795996     ;-0.546392     
   6.17856250000E+07; -0.794563     ;-0.544443     
   6.17875000000E+07; -0.797074     ;-0.543618     
   6.17893750000E+07; -0.796609     ;-0.540099     
   6.17912500000E+07; -0.799181     ;-0.539469     
   6.17931250000E+07; -0.797773     ;-0.540046     
   6.17950000000E+07; -0.799721     ;-0.540434     
   6.17968750000E+07; -0.796169     ;-0.537244     
   6.17987500000E+07; -0.800092     ;-0.536235     
   6.18006250000E+07; -0.802037     ;-0.536834     
   6.18025000000E+07; -0.800295     ;-0.536008     
   6.18043750000E+07; -0.800341     ;-0.534465     
   6.18062500000E+07; -0.804304     ;-0.534573     
   6.18081250000E+07; -0.802522     ;-0.53193      
   6.18100000000E+07; -0.803716     ;-0.532025     
   6.18118750000E+07; -0.80474      ;-0.528912     
   6.18137500000E+07; -0.806941     ;-0.528647     
   6.18156250000E+07; -0.80355      ;-0.529133     
   6.18175000000E+07; -0.806875     ;-0.52958      
   6.18193750000E+07; -0.806449     ;-0.528417     
   6.18212500000E+07; -0.807149     ;-0.524792     
   6.18231250000E+07; -0.810745     ;-0.52383      
   6.18250000000E+07; -0.809803     ;-0.524215     
   6.18268750000E+07; -0.806407     ;-0.522725     
   6.18287500000E+07; -0.809668     ;-0.523583     
   6.18306250000E+07; -0.8086       ;-0.522981     
   6.18325000000E+07; -0.812026     ;-0.520276     
   6.18343750000E+07; -0.812244     ;-0.518282     
   6.18362500000E+07; -0.811784     ;-0.519211     
   6.18381250000E+07; -0.811928     ;-0.519751     
   6.18400000000E+07; -0.81453      ;-0.515661     
   6.18418750000E+07; -0.815271     ;-0.517793     
   6.18437500000E+07; -0.814206     ;-0.515602     
   6.18456250000E+07; -0.810642     ;-0.513406     
   6.18475000000E+07; -0.816039     ;-0.514105     
   6.18493750000E+07; -0.817331     ;-0.510852     
   6.18512500000E+07; -0.81946      ;-0.511425     
   6.18531250000E+07; -0.815425     ;-0.510019     
   6.18550000000E+07; -0.816686     ;-0.50942      
   6.18568750000E+07; -0.818441     ;-0.509753     
   6.18587500000E+07; -0.818207     ;-0.508641     
   6.18606250000E+07; -0.819156     ;-0.505792     
   6.18625000000E+07; -0.820958     ;-0.505333     
   6.18643750000E+07; -0.820615     ;-0.504564     
   6.18662500000E+07; -0.820758     ;-0.503278     
   6.18681250000E+07; -0.823218     ;-0.502629     
   6.18700000000E+07; -0.819161     ;-0.501865     
   6.18718750000E+07; -0.82223      ;-0.501128     
   6.18737500000E+07; -0.8233       ;-0.49932      
   6.18756250000E+07; -0.821781     ;-0.497286     
   6.18775000000E+07; -0.824167     ;-0.499064     
   6.18793750000E+07; -0.824772     ;-0.496645     
   6.18812500000E+07; -0.823763     ;-0.493219     
   6.18831250000E+07; -0.826722     ;-0.492558     
   6.18850000000E+07; -0.827199     ;-0.494887     
   6.18868750000E+07; -0.82927      ;-0.494262     
   6.18887500000E+07; -0.829051     ;-0.495373     
   6.18906250000E+07; -0.830089     ;-0.492241     
   6.18925000000E+07; -0.829372     ;-0.489379     
   6.18943750000E+07; -0.828964     ;-0.489394     
   6.18962500000E+07; -0.827881     ;-0.486431     
   6.18981250000E+07; -0.830908     ;-0.486262     
   6.19000000000E+07; -0.832572     ;-0.484025     
   6.19018750000E+07; -0.833982     ;-0.484089     
   6.19037500000E+07; -0.83186      ;-0.483606     
   6.19056250000E+07; -0.831332     ;-0.482391     
   6.19075000000E+07; -0.833463     ;-0.481271     
   6.19093750000E+07; -0.837041     ;-0.479638     
   6.19112500000E+07; -0.834833     ;-0.480023     
   6.19131250000E+07; -0.835946     ;-0.479541     
   6.19150000000E+07; -0.835807     ;-0.477952     
   6.19168750000E+07; -0.8378       ;-0.477629     
   6.19187500000E+07; -0.837207     ;-0.476059     
   6.19206250000E+07; -0.835867     ;-0.474946     
   6.19225000000E+07; -0.837967     ;-0.474237     
   6.19243750000E+07; -0.836811     ;-0.473715     
   6.19262500000E+07; -0.839507     ;-0.473438     
   6.19281250000E+07; -0.839891     ;-0.473025     
   6.19300000000E+07; -0.841654     ;-0.469813     
   6.19318750000E+07; -0.839293     ;-0.470405     
   6.19337500000E+07; -0.840083     ;-0.468754     
   6.19356250000E+07; -0.842747     ;-0.467835     
   6.19375000000E+07; -0.842032     ;-0.466273     
   6.19393750000E+07; -0.842645     ;-0.46384      
   6.19412500000E+07; -0.843123     ;-0.466552     
   6.19431250000E+07; -0.844824     ;-0.464826     
   6.19450000000E+07; -0.843766     ;-0.462181     
   6.19468750000E+07; -0.844764     ;-0.461222     
   6.19487500000E+07; -0.846911     ;-0.459983     
   6.19506250000E+07; -0.843665     ;-0.459172     
   6.19525000000E+07; -0.843621     ;-0.458572     
   6.19543750000E+07; -0.846582     ;-0.456342     
   6.19562500000E+07; -0.847253     ;-0.453493     
