
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  6.10000000000E+07     ; 6.40000000000E+07   ; Hz                  ; 1601      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   6.12962500000E+07; -0.611221     ;-0.748996     
   6.12981250000E+07; -0.611913     ;-0.75044      
   6.13000000000E+07; -0.61228      ;-0.749153     
   6.13018750000E+07; -0.615073     ;-0.746144     
   6.13037500000E+07; -0.613989     ;-0.745676     
   6.13056250000E+07; -0.614223     ;-0.747371     
   6.13075000000E+07; -0.613921     ;-0.744877     
   6.13093750000E+07; -0.617043     ;-0.743705     
   6.13112500000E+07; -0.618316     ;-0.743739     
   6.13131250000E+07; -0.619365     ;-0.742903     
   6.13150000000E+07; -0.617385     ;-0.742624     
   6.13168750000E+07; -0.617073     ;-0.739851     
   6.13187500000E+07; -0.619467     ;-0.740316     
   6.13206250000E+07; -0.62121      ;-0.741399     
   6.13225000000E+07; -0.622065     ;-0.741587     
   6.13243750000E+07; -0.622333     ;-0.73974      
   6.13262500000E+07; -0.622308     ;-0.737636     
   6.13281250000E+07; -0.623088     ;-0.736211     
   6.13300000000E+07; -0.624542     ;-0.737675     
   6.13318750000E+07; -0.625643     ;-0.737947     
   6.13337500000E+07; -0.62928      ;-0.734763     
   6.13356250000E+07; -0.629389     ;-0.733501     
   6.13375000000E+07; -0.626872     ;-0.733716     
   6.13393750000E+07; -0.629456     ;-0.734631     
   6.13412500000E+07; -0.629958     ;-0.732657     
   6.13431250000E+07; -0.633164     ;-0.732471     
   6.13450000000E+07; -0.628473     ;-0.730331     
   6.13468750000E+07; -0.630005     ;-0.729645     
   6.13487500000E+07; -0.633561     ;-0.730349     
   6.13506250000E+07; -0.633308     ;-0.729197     
   6.13525000000E+07; -0.633365     ;-0.725966     
   6.13543750000E+07; -0.634978     ;-0.727598     
   6.13562500000E+07; -0.635844     ;-0.730111     
   6.13581250000E+07; -0.636614     ;-0.729526     
   6.13600000000E+07; -0.637506     ;-0.727645     
   6.13618750000E+07; -0.641481     ;-0.724647     
   6.13637500000E+07; -0.641643     ;-0.722911     
   6.13656250000E+07; -0.639916     ;-0.724725     
   6.13675000000E+07; -0.641617     ;-0.723578     
   6.13693750000E+07; -0.640719     ;-0.722046     
   6.13712500000E+07; -0.641293     ;-0.720906     
   6.13731250000E+07; -0.643905     ;-0.721349     
   6.13750000000E+07; -0.641216     ;-0.719216     
   6.13768750000E+07; -0.64345      ;-0.719853     
   6.13787500000E+07; -0.645032     ;-0.721507     
   6.13806250000E+07; -0.646565     ;-0.720482     
   6.13825000000E+07; -0.64803      ;-0.71709      
   6.13843750000E+07; -0.649611     ;-0.715759     
   6.13862500000E+07; -0.65033      ;-0.714421     
   6.13881250000E+07; -0.649508     ;-0.715578     
   6.13900000000E+07; -0.650369     ;-0.713691     
   6.13918750000E+07; -0.652417     ;-0.713176     
   6.13937500000E+07; -0.649393     ;-0.713195     
   6.13956250000E+07; -0.651276     ;-0.712469     
   6.13975000000E+07; -0.652417     ;-0.710103     
   6.13993750000E+07; -0.650345     ;-0.708411     
   6.14012500000E+07; -0.654325     ;-0.709852     
   6.14031250000E+07; -0.656314     ;-0.712297     
   6.14050000000E+07; -0.65367      ;-0.707101     
   6.14068750000E+07; -0.655662     ;-0.708473     
   6.14087500000E+07; -0.657618     ;-0.707652     
   6.14106250000E+07; -0.659991     ;-0.709412     
   6.14125000000E+07; -0.659138     ;-0.70738      
   6.14143750000E+07; -0.658884     ;-0.705074     
   6.14162500000E+07; -0.660135     ;-0.70812      
   6.14181250000E+07; -0.663096     ;-0.703321     
   6.14200000000E+07; -0.663011     ;-0.703343     
   6.14218750000E+07; -0.665131     ;-0.701426     
   6.14237500000E+07; -0.66521      ;-0.701919     
   6.14256250000E+07; -0.66352      ;-0.701954     
   6.14275000000E+07; -0.666552     ;-0.698993     
   6.14293750000E+07; -0.665564     ;-0.698208     
   6.14312500000E+07; -0.667936     ;-0.700395     
   6.14331250000E+07; -0.667385     ;-0.698889     
   6.14350000000E+07; -0.666785     ;-0.695806     
   6.14368750000E+07; -0.668542     ;-0.696092     
   6.14387500000E+07; -0.670222     ;-0.697806     
   6.14406250000E+07; -0.669744     ;-0.693407     
   6.14425000000E+07; -0.672702     ;-0.695319     
   6.14443750000E+07; -0.67353      ;-0.693043     
   6.14462500000E+07; -0.674705     ;-0.692044     
   6.14481250000E+07; -0.674304     ;-0.691165     
   6.14500000000E+07; -0.675371     ;-0.69065      
   6.14518750000E+07; -0.67659      ;-0.691019     
   6.14537500000E+07; -0.679298     ;-0.688695     
   6.14556250000E+07; -0.675911     ;-0.690257     
   6.14575000000E+07; -0.675126     ;-0.689225     
   6.14593750000E+07; -0.676427     ;-0.688544     
   6.14612500000E+07; -0.676108     ;-0.68603      
   6.14631250000E+07; -0.678869     ;-0.686795     
   6.14650000000E+07; -0.679937     ;-0.687987     
   6.14668750000E+07; -0.681639     ;-0.685769     
   6.14687500000E+07; -0.68249      ;-0.685036     
   6.14706250000E+07; -0.684499     ;-0.683181     
   6.14725000000E+07; -0.684497     ;-0.681542     
   6.14743750000E+07; -0.683168     ;-0.683324     
   6.14762500000E+07; -0.683528     ;-0.681491     
   6.14781250000E+07; -0.686577     ;-0.679334     
   6.14800000000E+07; -0.685902     ;-0.67889      
   6.14818750000E+07; -0.685048     ;-0.677457     
   6.14837500000E+07; -0.688625     ;-0.677449     
   6.14856250000E+07; -0.687513     ;-0.678743     
   6.14875000000E+07; -0.690481     ;-0.675241     
   6.14893750000E+07; -0.690466     ;-0.677117     
   6.14912500000E+07; -0.693439     ;-0.675114     
   6.14931250000E+07; -0.695214     ;-0.673772     
   6.14950000000E+07; -0.691366     ;-0.673102     
   6.14968750000E+07; -0.69205      ;-0.672391     
   6.14987500000E+07; -0.693479     ;-0.6729       
   6.15006250000E+07; -0.69269      ;-0.671997     
   6.15025000000E+07; -0.693827     ;-0.669338     
   6.15043750000E+07; -0.695111     ;-0.67018      
   6.15062500000E+07; -0.697112     ;-0.668314     
   6.15081250000E+07; -0.69639      ;-0.666606     
   6.15100000000E+07; -0.698793     ;-0.668366     
   6.15118750000E+07; -0.700728     ;-0.667173     
   6.15137500000E+07; -0.700238     ;-0.667131     
   6.15156250000E+07; -0.702708     ;-0.664892     
   6.15175000000E+07; -0.699703     ;-0.664739     
   6.15193750000E+07; -0.701456     ;-0.663686     
   6.15212500000E+07; -0.701075     ;-0.662378     
   6.15231250000E+07; -0.700863     ;-0.660358     
   6.15250000000E+07; -0.703199     ;-0.660691     
   6.15268750000E+07; -0.704751     ;-0.663424     
   6.15287500000E+07; -0.707041     ;-0.65887      
   6.15306250000E+07; -0.705783     ;-0.658875     
   6.15325000000E+07; -0.707005     ;-0.657108     
   6.15343750000E+07; -0.709043     ;-0.65626      
   6.15362500000E+07; -0.706788     ;-0.657368     
   6.15381250000E+07; -0.707936     ;-0.655748     
   6.15400000000E+07; -0.710661     ;-0.653492     
   6.15418750000E+07; -0.708666     ;-0.654573     
   6.15437500000E+07; -0.709253     ;-0.652829     
   6.15456250000E+07; -0.712878     ;-0.656408     
   6.15475000000E+07; -0.712339     ;-0.652015     
   6.15493750000E+07; -0.712807     ;-0.650415     
   6.15512500000E+07; -0.71388      ;-0.65125      
   6.15531250000E+07; -0.716523     ;-0.648224     
   6.15550000000E+07; -0.715985     ;-0.648876     
   6.15568750000E+07; -0.717712     ;-0.646996     
   6.15587500000E+07; -0.714193     ;-0.647188     
   6.15606250000E+07; -0.716438     ;-0.646578     
   6.15625000000E+07; -0.716991     ;-0.644692     
   6.15643750000E+07; -0.718532     ;-0.645168     
   6.15662500000E+07; -0.719934     ;-0.645722     
   6.15681250000E+07; -0.720586     ;-0.644904     
   6.15700000000E+07; -0.720061     ;-0.641593     
   6.15718750000E+07; -0.721425     ;-0.643151     
   6.15737500000E+07; -0.721868     ;-0.641752     
   6.15756250000E+07; -0.721707     ;-0.639425     
   6.15775000000E+07; -0.724241     ;-0.639197     
   6.15793750000E+07; -0.72453      ;-0.639472     
   6.15812500000E+07; -0.723642     ;-0.63767      
   6.15831250000E+07; -0.725886     ;-0.636954     
   6.15850000000E+07; -0.726351     ;-0.635211     
   6.15868750000E+07; -0.725726     ;-0.635298     
   6.15887500000E+07; -0.728258     ;-0.636545     
   6.15906250000E+07; -0.728202     ;-0.63345      
   6.15925000000E+07; -0.728966     ;-0.633671     
   6.15943750000E+07; -0.728403     ;-0.63349      
   6.15962500000E+07; -0.73076      ;-0.630245     
   6.15981250000E+07; -0.731664     ;-0.631725     
   6.16000000000E+07; -0.733001     ;-0.632145     
